    Survived Pclass    Sex   Age
1          0      3   male 22.00
2          1      1 female 38.00
3          1      3 female 26.00
4          1      1 female 35.00
5          0      3   male 35.00
6          0      1   male 54.00
7          0      3   male  2.00
8          1      3 female 27.00
9          1      2 female 14.00
10         1      3 female  4.00
11         1      1 female 58.00
12         0      3   male 20.00
13         0      3   male 39.00
14         0      3 female 14.00
15         1      2 female 55.00
16         0      3   male  2.00
17         0      3 female 31.00
18         0      2   male 35.00
19         1      2   male 34.00
20         1      3 female 15.00
21         1      1   male 28.00
22         0      3 female  8.00
23         1      3 female 38.00
24         0      1   male 19.00
25         0      1   male 40.00
26         0      2   male 66.00
27         0      1   male 28.00
28         0      1   male 42.00
29         0      3   male 21.00
30         0      3 female 18.00
31         1      3 female 14.00
32         0      3 female 40.00
33         0      2 female 27.00
34         1      2 female  3.00
35         1      3 female 19.00
36         0      3 female 18.00
37         0      3   male  7.00
38         0      3   male 21.00
39         1      1 female 49.00
40         1      2 female 29.00
41         0      1   male 65.00
42         1      2 female 21.00
43         0      3   male 28.50
44         1      2 female  5.00
45         0      3   male 11.00
46         0      3   male 22.00
47         1      1 female 38.00
48         0      1   male 45.00
49         0      3   male  4.00
50         1      2 female 29.00
51         0      3   male 19.00
52         1      3 female 17.00
53         0      3   male 26.00
54         0      2   male 32.00
55         0      3 female 16.00
56         0      2   male 21.00
57         0      3   male 26.00
58         1      3   male 32.00
59         0      3   male 25.00
60         1      2   male  0.83
61         1      3 female 30.00
62         0      3   male 22.00
63         1      3   male 29.00
64         0      1   male 28.00
65         1      2 female 17.00
66         1      3 female 33.00
67         0      3   male 16.00
68         1      1 female 23.00
69         0      3   male 24.00
70         0      3   male 29.00
71         0      3   male 20.00
72         0      1   male 46.00
73         0      3   male 26.00
74         0      3   male 59.00
75         0      1   male 71.00
76         1      1   male 23.00
77         1      2 female 34.00
78         0      2   male 34.00
79         0      3 female 28.00
80         0      1   male 21.00
81         0      3   male 33.00
82         0      3   male 37.00
83         0      3   male 28.00
84         1      3 female 21.00
85         0      3   male 38.00
86         0      1   male 47.00
87         0      3 female 14.50
88         0      3   male 22.00
89         0      3 female 20.00
90         0      3 female 17.00
91         0      3   male 21.00
92         0      3   male 70.50
93         0      2   male 29.00
94         0      1   male 24.00
95         0      3 female  2.00
96         0      2   male 21.00
97         0      2   male 32.50
98         1      2 female 32.50
99         0      1   male 54.00
100        1      3   male 12.00
101        1      3   male 24.00
102        0      3   male 45.00
103        0      3   male 33.00
104        0      3   male 20.00
105        0      3 female 47.00
106        1      2 female 29.00
107        0      2   male 25.00
108        0      2   male 23.00
109        1      1 female 19.00
110        0      1   male 37.00
111        0      3   male 16.00
112        0      1   male 24.00
113        1      3 female 22.00
114        1      3 female 24.00
115        0      3   male 19.00
116        0      2   male 18.00
117        0      2   male 19.00
118        1      3   male 27.00
119        0      3 female  9.00
120        0      2   male 36.50
121        0      2   male 42.00
122        0      2   male 51.00
123        1      1 female 22.00
124        0      3   male 55.50
125        0      3   male 40.50
126        0      1   male 51.00
127        1      3 female 16.00
128        0      3   male 30.00
129        0      3   male 44.00
130        1      2 female 40.00
131        0      3   male 26.00
132        0      3   male 17.00
133        0      3   male  1.00
134        1      3   male  9.00
135        0      3 female 45.00
136        0      3   male 28.00
137        0      1   male 61.00
138        0      3   male  4.00
139        1      3 female  1.00
140        0      3   male 21.00
141        0      1   male 56.00
142        0      3   male 18.00
143        0      1 female 50.00
144        0      2   male 30.00
145        0      3   male 36.00
146        0      3   male  9.00
147        1      2   male  1.00
148        1      3 female  4.00
149        1      1   male 45.00
150        0      3   male 40.00
151        0      3   male 36.00
152        1      2 female 32.00
153        0      2   male 19.00
154        1      3 female 19.00
155        1      2   male  3.00
156        1      1 female 44.00
157        1      1 female 58.00
158        0      3   male 42.00
159        0      2 female 24.00
160        0      3   male 28.00
161        0      3   male 34.00
162        0      3   male 45.50
163        1      3   male 18.00
164        0      3 female  2.00
165        0      3   male 32.00
166        1      3   male 26.00
167        1      3 female 16.00
168        1      1   male 40.00
169        0      3   male 24.00
170        1      2 female 35.00
171        0      3   male 22.00
172        0      2   male 30.00
173        1      1 female 31.00
174        1      3 female 27.00
175        0      2   male 42.00
176        1      1 female 32.00
177        0      2   male 30.00
178        1      3   male 16.00
179        0      2   male 27.00
180        0      3   male 51.00
181        1      1   male 38.00
182        0      3   male 22.00
183        1      2   male 19.00
184        0      3   male 20.50
185        0      2   male 18.00
